3128;PARECES FELIZ;JOSE LUIS RODRIGUEZ;BALADA
3136;SE BUSCA;JOSE LUIS RODRIGUEZ;BALADA
3446;VOY A CONQUISTARTE;JOSE LUIS RODRIGUEZ;BALADA
3455;AUN QUISIERA CORRER MAS;JOSE LUIS RODRIGUEZ;BALADA
3685;PAVO REAL;JOSE LUIS RODRIGUEZ;BALADA
3740;SI A VECES HABLO DE TI;JOSE LUIS RODRIGUEZ;BALADA
3748;TENDR�A QUE LLORAR POR TI;JOSE LUIS RODRIGUEZ;BALADA
3845;TE IMAGINAS MARIA;JOSE LUIS RODRIGUEZ;BALADA
4103;AMALIA ROSA;JOSE LUIS RODRIGUEZ;BALADA
4145;UN TOQUE DE LOCURA;JOSE LUIS RODRIGUEZ;BALADA
4148;VEN;JOSE LUIS RODRIGUEZ;BALADA
4177;POR SI VOLVIERAS;JOSE LUIS RODRIGUEZ;BALADA
4481;YO RENACERE;JOSE LUIS RODRIGUEZ;BALADA
4587;SUE�O CONTIGO;JOSE LUIS RODRIGUEZ;BALADA
4780;ME VAS A ECHAR DE MENOS;JOSE LUIS RODRIGUEZ;BALADA
4856;AMANTE ETERNA;JOSE LUIS RODRIGUEZ;BALADA
4898;YO QUIERO SER;JOSE LUIS RODRIGUEZ;BALADA
4905;AMAR ES ALGO MAS;JOSE LUIS RODRIGUEZ;BALADA
4961;ATREVETE;JOSE LUIS RODRIGUEZ;BALADA
6731;LA LLAMADA DEL AMOR;JOSE LUIS RODRIGUEZ;BALADA
7042;SE BUSCA;JOSE LUIS RODRIGUEZ;BALADA
163;DE QUE MANERA TE OLVIDO;JOSE LUIS RODRIGUEZ EL PUMA;RANCHERA
690;SILENCIO;JOSE LUIS RODRIGUEZ EL PUMA;BALADA
772;SE�ORA BONITA;JOSE LUIS RODRIGUEZ EL PUMA;RANCHERA
815;CULPABLE SOY YO;JOSE LUIS RODRIGUEZ EL PUMA;BALADA
832;VOY A PERDER LA CABEZA;JOSE LUIS RODRIGUEZ EL PUMA;BALADA
841;DUE�O DE NADA;JOSE LUIS RODRIGUEZ EL PUMA;BALADA
1154;NO VOLVERE;JOSE LUIS RODRIGUEZ EL PUMA;RANCHERA
4465;CULPABLE;JOSE MARIA BACHELI;BALADA
4016;ELLA SE LLAMABA MARTHA;JOSE MARIA NAPOLEON;BALADA
3914;ESTOY AQU�;JOSE PABLO;BALADA
1163;PROCURO OLVIDARTE;JOSE VELEZ;BALADA
2295;VE CON EL;JOSE VELEZ;BALADA
2944;ROMANTICA;JOSE VELEZ;BALADA
3307;AMOR CON AMOR SE PAGA;JOSE VELEZ;VALS
3404;ASI SOY YO;JOSE VELEZ;BALADA
3235;PEGANDO EL PECHO;JOSSIE ESTEBAN & LA PATRULLA 15;MERENGUE
3948;UN HOMBRE BUSCA A UNA MUJER;JOSSIE ESTEBAN & LA PATRULLA 15;MERENGUE
5040;PERFECTA OCASI�N;JOWELL;REGGAETON
4661;DE NI�A A MUJER;JOX;BALADA
7363;SUENA EL DENBOW;JOY MONTANA FT YATRA;REGUETON
1209;RESIGNACION;JUAN ALAVA;PASILLO
2041;MI RENUNCIA;JUAN ALAVA;PASILLO
2042;RUEGO DE AMOR;JUAN ALAVA;PASILLO
5759;COMPRENDE QUE TE QUIERO;JUAN ALAVA;PASILLO
2923;LA ESTRELLA DE DAVID;JUAN BAU;BALADA
2952;ACARICIAME;JUAN BAU;BALADA
2963;DAMA DEL AMANECER;JUAN BAU;BALADA
4110;DIVORCIO;JUAN BAU;BALADA
2996;UN SORBITO DE CHAMPAGNE;JUAN ERASMO MOCHI;BALADA
3109;CASCABEL;JUAN ERASMO MOCHI;BALADA
3152;AMADA MIA;JUAN ERASMO MOCHI;BALADA
3207;CADA DIA TE AMO MAS;JUAN ERASMO MOCHI;BALADA
3240;QUE HAY EN TU MIRADA;JUAN ERASMO MOCHI;BALADA
3934;NO LLORES POR AMOR;JUAN ERASMO MOCHI;BALADA
866;CHAO LOLA;JUAN FERNANDO VELASCO;BALADA
871;ANGEL DE LUZ;JUAN FERNANDO VELASCO;BALADA
898;PARA QUE NO ME OLVIDES;JUAN FERNANDO VELASCO;BALADA
921;DICEN;JUAN FERNANDO VELASCO;BALADA
1239;ATAJITOS DE CA�A;JUAN FERNANDO VELASCO;BALADA
1244;EL AGUACATE;JUAN FERNANDO VELASCO;BALADA
2549;LO QUE EL SILENCIO OTORGA;JUAN FERNANDO VELASCO;BALADA
2674;NUNCA;JUAN FERNANDO VELASCO;BALADA
3271;HOY QUE NO ESTAS;JUAN FERNANDO VELASCO;BALADA
3830;NO MAS;JUAN FERNANDO VELASCO;BALADA
4440;SI TE PIERDO;JUAN FERNANDO VELASCO;BALADA
5562;DEJAME;JUAN FERNANDO VELASCO;BALADA
1223;QUE TE HAN VISTO LLORAR;JUAN FRANCISCO;BALADA
3564;EQUIVOCADOS;JUAN FRANCISCO;BALADA
3686;PERDI MI TIEMPO;JUAN FRANCISCO;BALADA
151;TE VOY A OLVIDAR;JUAN GABRIEL;RANCHERA
181;TE SIGO AMANDO;JUAN GABRIEL;RANCHERA
182;AMOR ETERNO;JUAN GABRIEL;RANCHERA
224;NO ME VUELVO A ENAMORAR;JUAN GABRIEL;BALADA
230;QUERIDA;JUAN GABRIEL;BALADA
511;SI QUIERES;JUAN GABRIEL;RANCHERA
512;CON TU AMOR;JUAN GABRIEL;BALADA
762;HASTA QUE TE CONOCI;JUAN GABRIEL;BALADA
935;SIEMPRE EN MI MENTE;JUAN GABRIEL;BALADA
936;TE LO PIDO POR FAVOR;JUAN GABRIEL;BALADA
942;INSENSIBLE;JUAN GABRIEL;BALADA
977;NO TENGO DINERO;JUAN GABRIEL;BALADA
1055;ABRAZAME MUY FUERTE;JUAN GABRIEL;BALADA
1569;HA LLEGADO UN ANGEL;JUAN GABRIEL;BALADA
1744;NO VALE LA PENA;JUAN GABRIEL;RANCHERA
1893;ASES Y TERCIAS DE REYES;JUAN GABRIEL;RANCHERA
1994;YO NO SE QUE ME PASO;JUAN GABRIEL;BALADA
2021;NOA NOA;JUAN GABRIEL;BALADA
2094;YO NO NACI PARA AMAR;JUAN GABRIEL;BALADA
2104;ADIOS AMOR TE VAS;JUAN GABRIEL;BALADA
2115;AUNQUE TE ENAMORES;JUAN GABRIEL;BALADA
2124;CARAY;JUAN GABRIEL;RANCHERA
2128;CON TODO Y MI TRISTEZA;JUAN GABRIEL;BALADA
2149;HE VENIDO A PEDIRTE PERDON;JUAN GABRIEL;BALADA
2151;LA FARSANTE;JUAN GABRIEL;RANCHERA
2179;SE ME OLVIDO OTRA VEZ;JUAN GABRIEL;RANCHERA
2231;INOCENTE POBRE AMIGO;JUAN GABRIEL;RANCHERA
2300;YA NO VUELVO A MOLESTARTE;JUAN GABRIEL;RANCHERA
2362;MI FRACASO;JUAN GABRIEL;BALADA
2450;LA DIFERENCIA;JUAN GABRIEL;BALADA
2531;ESTA NOCHE VOY A VERLA;JUAN GABRIEL;RANCHERA
2553;ME HE QUEDADO SOLO;JUAN GABRIEL;RANCHERA
2678;PERO QUE NECESIDAD;JUAN GABRIEL;BALADA
2680;QUE CHASCO ME LLEVE;JUAN GABRIEL;RANCHERA
2769;INOCENTE DE TI;JUAN GABRIEL;BALADA
3062;COSAS DE ENAMORADOS;JUAN GABRIEL;RANCHERA
3199;YA LO SE QUE TU TE VAS;JUAN GABRIEL;RANCHERA
3494;SOLO SE QUE FUE EN MARZO;JUAN GABRIEL;RANCHERA
3651;A MI GUITARRA;JUAN GABRIEL;BALADA
3656;BESAME;JUAN GABRIEL;BALADA
3660;DEBO HACERLO;JUAN GABRIEL;BALADA
3804;BUENOS DIAS SE�OR SOL;JUAN GABRIEL;BALADA
5810;CUANDO QUIERAS DEJAME;JUAN GABRIEL;RANCHERA
5907;CANTA CANTA;JUAN GABRIEL;BALADA
6378;OTRA VEZ ME ENAMORE;JUAN GABRIEL;BALADA
6500;YO TE RECUERDO;JUAN GABRIEL;BALADA
6492;YA NO VIVO POR VIVIR;JUAN GABRIEL & NATALIA LAFOURCADE;BALADA
2966;DEJAME VIVIR;JUAN GABRIEL & ROCIO DURCAL;RANCHERA
2135;EL DESTINO;JUAN GABRIEL Y ROCIO DURCAL;BALADA
4561;EL GANADOR;JUAN JOEL;BACHATA
54;BACHATA ROSA;JUAN LUIS GUERRA;BACHATA
137;LA BILIRRUBINA;JUAN LUIS GUERRA;MERENGUE
360;BURBUJAS DE AMOR;JUAN LUIS GUERRA;BACHATA
1191;LAS AVISPAS;JUAN LUIS GUERRA;MERENGUE
1583;ESTRELLITAS Y DUENDES;JUAN LUIS GUERRA;BOLERO
1651;MAL DE AMOR;JUAN LUIS GUERRA;MERENGUE
2427;COMO ABEJA AL PANAL;JUAN LUIS GUERRA;BACHATA
2776;ME ENAMORO DE ELLA;JUAN LUIS GUERRA;MERENGUE
2851;A PEDIR SU MANO;JUAN LUIS GUERRA;MERENGUE
2870;LA LLAVE DE MI CORAZON;JUAN LUIS GUERRA;SALSA
2888;QUE ME DES TU CARI�O;JUAN LUIS GUERRA;BACHATA
2924;LA HORMIGUITA;JUAN LUIS GUERRA;BACHATA
3197;VISA PARA UN SUE�O;JUAN LUIS GUERRA;MERENGUE
4233;OJALA QUE LLUEVA CAF�;JUAN LUIS GUERRA;MERENGUE
4378;PALOMITA BLANCA;JUAN LUIS GUERRA;BACHATA
4948;WOMAN DEL CALLAO;JUAN LUIS GUERRA;MERENGUE
5161;BACHATA EN FUKUOKA;JUAN LUIS GUERRA;BACHATA
5173;EL NIAGARA EN BICICLETA;JUAN LUIS GUERRA;MERENGUE
5221;ROSALIA;JUAN LUIS GUERRA;MERENGUE
5227;SI TU TE VAS;JUAN LUIS GUERRA;MERENGUE
5265;CARTA DE AMOR;JUAN LUIS GUERRA;SALSA
5284;EL COSTO DE LA VIDA;JUAN LUIS GUERRA;MERENGUE
5296;LA GUAGUA;JUAN LUIS GUERRA;CUMBIA
5312;PARA TI;JUAN LUIS GUERRA;MERENGUE
5351;ACOMPA�EME CIVIL;JUAN LUIS GUERRA;SALSA
5488;TU;JUAN LUIS GUERRA;BALADA
5794;SOLO TENGO OJOS PARA TI;JUAN LUIS GUERRA;BALADA
6233;EN EL CIELO NO HAY HOSPITAL;JUAN LUIS GUERRA;MERENGUE
6345;MI PADRE ME AMA;JUAN LUIS GUERRA;CRISTIANA
6472;TUS BESOS;JUAN LUIS GUERRA;BACHATA
7032;LAS AVISPAS;JUAN LUIS GUERRA;MERENGUE
7099;MI PADRE ME AMA;JUAN LUIS GUERRA;BALADA
7123;SOLO TENGO OJOS PARA TI;JUAN LUIS GUERRA;BALADA
7174;EN EL CIELO NO HAY HOSPITAL;JUAN LUIS GUERRA;BALADA  GOSPEL
4217;LA CALLE;JUAN LUIS GUERRA & JUANES;POP
5465;SOMOS AMIGOS;JUAN LUIS GUERRA & LOS 4 40;BALADA
5879;FRIO FRIO;JUAN LUIS GUERRA & ROMEO SANTOS;BACHATA
5300;MAL DE AMORES;JUAN MAGAN;REGGAETON
4965;BAILANDO POR EL MUNDO;JUAN MAGAN & PITBULL;REGGAETON
2167;NO ME HABLES;JUAN PARDO;BALADA
2984;MI GUITARRA;JUAN PARDO;BALADA
4553;AMAR DESPUES DE AMAR;JUAN PARDO;BALADA
4602;A TUS PIES MADAME;JUAN PARDO;BALADA
4649;VA POR TI;JUAN PARDO;BALADA
2434;DESDEN;JUAN VALENTIN;RANCHERA
851;A DIOS LE PIDO;JUANES;POP
854;FIJATE BIEN;JUANES;POP
958;LA PAGA;JUANES;POP
1106;TENGO LA CAMISA NEGRA;JUANES;POP
1278;MALA GENTE;JUANES;POP
1309;PODEMOS HACERNOS DA�O;JUANES;POP
1614;NADA VALGO SIN TU AMOR;JUANES;POP
1789;FOTOGRAFIA;JUANES;BALADA
1827;LA TIERRA;JUANES;POP
1841;DE MADRUGADA;JUANES;POP
1885;SOLO;JUANES;ROCK LATINO
1896;SIN RENCORES;JUANES;ROCK LATINO
2060;ES POR TI;JUANES;POP
2152;LA NOCHE;JUANES;POP
2156;LUNA;JUANES;POP
2258;PARA TU AMOR;JUANES;BALADA
2672;NADA;JUANES;POP
2964;DAMELO;JUANES;POP
2980;ME ENAMORA;JUANES;POP
3069;GOTAS DE AGUA DULCE;JUANES;POP
3224;LO QUE ME GUSTA A MI;JUANES;POP
3346;VOLVERTE A VER;JUANES;POP
3793;TRES;JUANES;POP
4126;ODIO POR AMOR;JUANES;POP
4150;YERBATERO;JUANES;POP
4248;Y NO REGRESAS;JUANES;BALADA
4926;LA SE�AL;JUANES;POP
4927;LA VIDA ES UN RATICO;JUANES;BALADA
5726;LA LUZ;JUANES;POP
6074;JUNTOS;JUANES;POP
5547;TE BUSQUE;JUANES & NELLY FURTADO;BALADA
800;ORGULLO DE MUJER;JUANITA BURBANO;ROCKOLERA
1067;IMPLORACION;JUANITA BURBANO;RANCHERA
4426;LAGRIMAS DE AMOR;JUANITA BURBANO;BOLERO
4443;TU TRAICION;JUANITA BURBANO;VALS
5500;ESTOY PENSANDO EN TI;JUANITA BURBANO;CUMBIA
6865;PUNTO FINAL;JUANITA BURBANO;RANCHERA
6869;QUE LINDOS SON TUS OJOS;JUANITA BURBANO;NACIONAL
6094;QUEEN OF HEARTS;JUICE NEWTON;BALADA INGLES
6547;ANGEL OF THE MORNING;JUICE NEWTON;BALADA INGLES
4423;LA CANCION DEL TE QUIERO;JULIA GRACIELA;BALADA
5673;ESTUPIDO;JULIA ONEAL;MERENGUE
1226;ANDAR CONMIGO;JULIETA VENEGAS;BALADA
1995;LENTO;JULIETA VENEGAS;BALADA
2238;LIMON Y SAL;JULIETA VENEGAS;BALADA
2249;ME VOY;JULIETA VENEGAS;BALADA
2618;ERES PARA MI;JULIETA VENEGAS;POP
3957;EL PRESENTE;JULIETA VENEGAS;POP
4004;BIEN O MAL;JULIETA VENEGAS;POP
6112;ALGO ESTA CAMBIANDO;JULIETA VENEGAS;BALADA
7;BAILA MORENA;JULIO IGLESIAS;RUMBA
225;HEY;JULIO IGLESIAS;BALADA
271;A VECES TU, A VECES YO;JULIO IGLESIAS;BALADA
464;CON LA MISMA PIEDRA;JULIO IGLESIAS;CUMBIA
982;LO MEJOR DE TU VIDA;JULIO IGLESIAS;BALADA
1755;AMANTES;JULIO IGLESIAS;BALADA
1758;DE NI�A A MUJER;JULIO IGLESIAS;BALADA
1762;NO ME VUELVO A ENAMORAR;JULIO IGLESIAS;BALADA
1763;NATHALIE;JULIO IGLESIAS;BALADA
1767;UN SENTIMENTAL;JULIO IGLESIAS;BALADA
1768;SOY UN TRUAN;JULIO IGLESIAS;BALADA
1769;QUIJOTE;JULIO IGLESIAS;BALADA
2431;CUCURRU CUCU PALOMA;JULIO IGLESIAS;RANCHERA
2461;MOLIENDO CAFE;JULIO IGLESIAS;FOLCKLORICA
2480;QUE NO SE ROMPA LA NOCHE;JULIO IGLESIAS;BALADA
2564;POR ELLA;JULIO IGLESIAS;BALADA
2574;QUIERO;JULIO IGLESIAS;BALADA
2595;UN DIA TU UN DIA YO;JULIO IGLESIAS;BALADA
2696;TORERO;JULIO IGLESIAS;BALADA
2733;ME OLVIDE DE VIVIR;JULIO IGLESIAS;BALADA
3065;EL AMOR;JULIO IGLESIAS;BALADA
3157;CORAZON DE PAPEL;JULIO IGLESIAS;BALADA
3217;GOZAR LA VIDA;JULIO IGLESIAS;RUMBA
4851;A FLOR DE PIEL;JULIO IGLESIAS;BALADA
4886;O ME QUIERES O ME DEJAS;JULIO IGLESIAS;BALADA
6781;ME VA ME VA;JULIO IGLESIAS;BALADA
3622;FELICIDADES;JULIO IGLESIAS & PEDRO VARGAS;BALADA
31;NIEGALO TODO;JULIO JARAMILLO;BOLERO
33;RONDANDO TU ESQUINA;JULIO JARAMILLO;BOLERO
102;ALMA MIA;JULIO JARAMILLO;VALS
103;CUANDO LLORA MI GUITARRA;JULIO JARAMILLO;VALS
105;CINCO CENTAVITOS;JULIO JARAMILLO;BOLERO
107;DE CIGARRO EN CIGARRO;JULIO JARAMILLO;BOLERO
121;SENDAS DISTINTAS;JULIO JARAMILLO;PASILLO
173;PESARES;JULIO JARAMILLO;PASILLO
221;ARREPENTIDA;JULIO JARAMILLO;BOLERO
222;AZABACHE;JULIO JARAMILLO;BOLERO
248;LICOR BENDITO;JULIO JARAMILLO;BOLERO
252;NUESTRO JURAMENTO;JULIO JARAMILLO;BOLERO
253;ODIAME;JULIO JARAMILLO;VALS
254;QUE NADIE SEPA MI SUFRIR;JULIO JARAMILLO;VALS
328;FE VERDADERA;JULIO JARAMILLO;VALS
364;FELICITACIONES;JULIO JARAMILLO;VALS
371;GUAYAQUIL DE MIS AMORES;JULIO JARAMILLO;PASILLO
372;EL ALMA EN LOS LABIOS;JULIO JARAMILLO;PASILLO
376;OLGA;JULIO JARAMILLO;PASILLO
397;INTERROGACION;JULIO JARAMILLO;BOLERO
421;PARA TI, MADRECITA;JULIO JARAMILLO;VALS
477;NAUFRAGO DE AMOR;JULIO JARAMILLO;PASILLO
491;GUAYAQUILE�A;JULIO JARAMILLO;VALS
634;CARNAVAL DE LA VIDA;JULIO JARAMILLO;PASILLO
638;PASION;JULIO JARAMILLO;VALS
656;REMINISCENCIAS;JULIO JARAMILLO;VALS
657;ME ESTOY ACOSTUMBRANDO;JULIO JARAMILLO;VALS
971;TE ODIO Y TE QUIERO;JULIO JARAMILLO;BOLERO
1033;FATALIDAD;JULIO JARAMILLO;VALS
1052;EL REGRESO;JULIO JARAMILLO;VALS
1066;ESPOSA;JULIO JARAMILLO;PASILLO
1236;ELSA;JULIO JARAMILLO;PASILLO
1295;MI PRIMER AMOR;JULIO JARAMILLO;PASILLO
1346;TU CULPA;JULIO JARAMILLO;VALS
1447;SONIA;JULIO JARAMILLO;PASILLO
1814;AYER Y HOY;JULIO JARAMILLO;BOLERO
1816;DOS MEDALLITAS;JULIO JARAMILLO;BOLERO
1820;MESA PARA UNO;JULIO JARAMILLO;BOLERO
1822;PARA QUE SE QUIERE;JULIO JARAMILLO;VALS
1835;TE ESPERARE;JULIO JARAMILLO;VALS
1965;QUIERO MORIR;JULIO JARAMILLO;VALS
2095;TU Y YO;JULIO JARAMILLO;PASILLO
2125;CHICA LINDA;JULIO JARAMILLO;PASACALLE
2131;DE HINOJOS;JULIO JARAMILLO;PASILLO
2183;PASIONARIA;JULIO JARAMILLO;PASILLO
2219;DOS PALABRAS;JULIO JARAMILLO;VALS
2516;COMO SE ADORA EL SOL;JULIO JARAMILLO;PASILLO
2644;POR TU AMOR;JULIO JARAMILLO;PASILLO
2705;AMADA MIA;JULIO JARAMILLO;PASILLO
3463;CHORRITOS DE LUZ;JULIO JARAMILLO;PASILLO
3465;COMO SI FUERA UN NI�O;JULIO JARAMILLO;PASILLO
3562;EN ESE MAS ALLA;JULIO JARAMILLO;VALS
3567;GOLONDRINAS;JULIO JARAMILLO;VALS
3582;ROMANCE DE MI DESTINO;JULIO JARAMILLO;PASILLO
3612;CICATRICES;JULIO JARAMILLO;PASILLO
3636;PIEDAD;JULIO JARAMILLO;PASILLO
4024;LOS VERSOS PARA MI MADRE;JULIO JARAMILLO;PASILLO
4027;MI LOCURA;JULIO JARAMILLO;BOLERO
4232;ODIO EN LA SANGRE;JULIO JARAMILLO;BOLERO
4254;AMAR Y VIVIR;JULIO JARAMILLO;BOLERO
4262;COMPA�ERA MIA;JULIO JARAMILLO;VALS
4293;SO�AR Y NADA MAS;JULIO JARAMILLO;VALS
4456;AMOR SIN ESPERANZA;JULIO JARAMILLO;BOLERO
4467;DEVUELVEME EL CORAZON;JULIO JARAMILLO;BOLERO
5382;EL DIVORCIO;JULIO JARAMILLO;BOLERO
5738;OJOS QUE MATAN;JULIO JARAMILLO;PASILLO
5936;PERDON POR ADORARTE;JULIO JARAMILLO;PASILLO
5950;YO VI LLORAR A DIOS;JULIO JARAMILLO;VALS
4540;ROSARIO DE BESOS;JULIO JARAMILLOS;PASILLO
6177;CREO EN TI;JULIO MELGAR;BALADA
7165;CREO EN TI;JULIO MELGAR;BALADA  GOSPEL
1921;EL REY DE LAS CANTINAS;JULIO SOLANO;ROCKOLERA
5506;CHULIN CULIN CHUNFLY;JULIO VOLTIO & CALLE 13;REGGAETON
5992;TE HUBIERAS IDO ANTES;JULION ALVAREZ;BANDA
6288;LA MARIA;JULION ALVAREZ;CORRIDO
4630;PERDONAME;JUNIOR;BALADA
5326;SI NO TE AMASE;JUNIOR;BALADA
4107;BABY;JUSTIN BIEBER;POP
4273;LOVE ME;JUSTIN BIEBER;POP
4315;EENIE MEENIE;JUSTIN BIEBER;POP
4334;ONE TIME;JUSTIN BIEBER;POP
4343;SOMEBODY TO LOVE;JUSTIN BIEBER;POP
5158;AS LONG AS YOU LOVE ME;JUSTIN BIEBER;POP
6763;LOVE YOURSELF;JUSTIN BIEBER;BALADA INGLES
6915;SORRY;JUSTIN BIEBER;POP
6982;WHAT DO YOU MEAN;JUSTIN BIEBER;POP
4074;NEVER SAY NEVER;JUSTIN BIEBER & JADEN SMITH;POP
5159;ASI;KAAY;BALADA
2770;LA CALLE DE LAS SIRENAS;KABAH;POP
6159;CASI AL FINAL;KABAH;POP
4453;AL PASAR;KABAH & ALEJANDRA GUZMAN;POP
4611;EN LOS ESPEJOS DE UN CAF�;KAIRO;POP
4747;VIVO EN EL LIMBO;KALETH MORALES;VALLENATO
1955;NO ME QUIERO ENAMORAR;KALIMBA;BALADA
1979;TOCANDO FONDO;KALIMBA;BALADA
2348;LLORAR DUELE MAS;KALIMBA;BALADA
2861;DUELE;KALIMBA;BALADA
3190;SOLO DEJATE AMAR;KALIMBA;BALADA
3876;JAMAS;KALIMBA;POP
5137;SE TE OLVIDO;KALIMBA;BALADA
6459;TU CORAZON LO SABE;KALIMBA;BALADA
3418;ESTRELLITA;KANNON;REGGAETON
3593;TU LIBERTAD;KANNON;BACHATA
238;DUST IN THE WIND;KANSAS;BALADA INGLES
3273;HOY YA ME VOY;KANY GARCIA;BALADA
4161;ESTA SOLEDAD;KANY GARCIA;BALADA
4180;QUE NOS PASO;KANY GARCIA;BALADA
4533;PARA VOLVER A AMAR;KANY GARCIA;BALADA
5178;ESTIGMA DE AMOR;KANY GARCIA;BALADA
6528;ALGUIEN;KANY GARCIA;BALADA
3298;TODA MUJER;KARAMETADE;BALADA
2652;A QUIEN;KARINA;BALADA
2684;SALVAME;KARINA;BALADA
2685;SE COMO DUELE;KARINA;BALADA
3306;AMOR A MILLON;KARINA;BALADA
3693;SIN MASCARA;KARINA;BALADA
3729;LO DIGO DE CORAZON;KARINA;BALADA
5009;DESDE MI VENTANA;KARINA;BALADA
3386;SOLO TU;KARLA KANORA;BALADA
6507;A TU MEDIDA;KAROLINA;MERENGUE
7267;A TU MEDIDA;KAROLINA;TECNOCUMBIA
5595;TAN SOLA;KATIA;BALADA
4987;HOT AND COLD;KATY PERRY;POP
5039;PART OF ME;KATY PERRY;POP
5287;FIREWORK;KATY PERRY;POP
5321;ROAR;KATY PERRY;POP
2679;PLEASE DON'T GO;KC & THE SUNSHINE BAND;BALADA INGLES
4365;EVERY BODY'S CHANGING;KEANE;POP
4909;BEDSHAPED;KEANE;BALADA INGLES
5113;CUMBIA DE COLORES;KEMPRA;CUMBIA
5123;LA CABELLONA;KEMPRA;CUMBIA
5127;MALDITA SOLEDAD;KEMPRA;VALLENATO
5144;UNA AVENTURA MAS;KEMPRA;VALLENATO
5446;PRINCESA;KEN Y;REGGAETON
6597;COMO LO HACIA YO;KEN Y FT NICKY JAM;REGGAETON
4719;FOOTLOOSE;KENNY LOGGINS;POP
3278;LADY;KENNY ROGERS;BALADA INGLES
5610;CRAZY KIDS;KESHA & WILL AM;POP
2175;QUE BELLO;KIARA;BALADA
1335;PAPI PAP�;KIKE CONTRERAS;SALSA
390;BETTE DAVIS EYES;KIM CARNES;BALADA INGLES
142;LOS HOMBRES NO DEBEN LLORAR;KING CLAVE;BALADA
5281;EL BAILE DEL SUA SUA;KINITO MENDEZ;MERENGUE
6572;CACHAMBA (EL HOYO);KINITO MENDEZ;MERENGUE
6594;COMETE UN CHICLE;KINITO MENDEZ;MERENGUE RAPIDO
745;QUISIERA;KIRUBA;POP
5036;MU�EQUITA MORENA;KIRURGICA;BALADA
4989;I WAS MADE FOR LOVING YOU;KISS;ROCK
6608;CRAZY NIGHTS;KISS;HARD ROCK
4183;SAYA MORENA;KJARKAS;FOLCKLORICA
6218;EL HOMBRE EQUIVOCADO;KJARKAS;FOLCLORICA
6294;LA PICARA;KJARKAS;FOLCLORICA
6341;MI GRAN AMOR;KJARKAS;FOLCLORICA
4099;WAVING FLAG;K'NAAN & DAVID BISBAL;POP
1886;YA NADA QUEDA NADA;KUDAI;BALADA
2044;SIN DESPERTAR;KUDAI;POP
2661;LLEVAME;KUDAI;POP
2713;DEJAME GRITAR;KUDAI;POP
2765;ESCAPAR;KUDAI;POP
2791;TAL VEZ;KUDAI;POP
3391;TU;KUDAI;POP
3929;MORIR DE AMOR;KUDAI;BALADA
3981;NADA ES IGUAL;KUDAI;BALADA
2361;MI DULCE NI�A;KUMBIA KINGS;CUMBIA
5151;5 DE LA MA�ANA;KURAKAS;FOLKLORICA
5196;ME ENAMORE DE UN ANGEL;KURAKAS;FOLKLORICA
5211;PILAHUIN;KURAKAS;FOLKLORICA
6357;NO ES TAN SOLO LA MITAD;LA ACTIVA BANDA SAN JOSE;CORRIDO
5885;LA LLAMADA DE MI EX;LA ARROLLADORA BANDA LIMON;BANDA
6676;ERES TU;LA BANDOLA;BALADA
2415;ASI NO TE AMARA JAMAS;LA BARRA;MERENGUE
4739;SOLO MI AMOR TE PERTENECE;LA BIBLIA;BALADA
5012;DIME QUE ME QUIERES;LA COMBINACION VALLENATA;VALLENATO
3434;PERO CAUSA DOLOR;LA CONQUISTA;BALADA
4726;EXTRA�ANDOTE;LA CONQUISTA;BALADA
5636;PORQUE TE AMO;LA CUMBIA;CUMBIA
4297;TORBELLINO DE AMOR;LA DAN DEN;SALSA
4377;NO PUEDO QUITARTE LAS ESPINAS;LA DECISION VALLENATA;VALLENATO
4166;HAY OTRO EN MI VIDA;LA FACTORIA;REGGAETON
4192;TODAVIA;LA FACTORIA;REGGAETON
3083;PERDONAME;LA FACTORIA & EDDY LOVER;REGGAETON
4971;DE ORO;LA FAMILIA ANDRE;SALSA
5785;EL LIMITE;LA FRONTERA;ROCK
4555;ASI TE QUIERO YO;LA GRAN BANDA CALE�A;CUMBIA
1330;LA CADERONA;LA GRUPA;BOMBA
3264;EL MUNDO TRAS EL CRISTAL;LA GUARDIA;ROCK LATINO
3284;MIL CALLES LLEVAN HACIA A TI;LA GUARDIA;ROCK LATINO
3275;LA FALTONA;LA HIJA DEL MARIACHI;RANCHERA
2484;SEDUCEME;LA INDIA;SALSA
3667;ESE HOMBRE;LA INDIA;SALSA
4159;DICEN QUE SOY;LA INDIA;SALSA
4910;BURLADA INOCENCIA;LA INDIA;SALSA
6343;MI MAYOR VENGANZA;LA INDIA;SALSA
1652;MAS ALLA;LA LEY;BALADA
1655;MI LEY;LA LEY;BALADA
1949;MENTIRA;LA LEY;POP
2407;AMATE Y SALVATE;LA LEY;BALADA
3363;EL DUELO UNPLUGGED;LA LEY;BALADA
3370;FUERA DE MI;LA LEY;POP
5704;ANIMAL;LA LEY;BALADA
5705;AQU�;LA LEY;POP
5713;DIA CERO;LA LEY;POP
5774;INTENTA AMAR;LA LEY;BALADA
5816;EL DUELO;LA LEY;POP
5988;SIN TI;LA LEY;BALADA
6165;CIELO MARKET;LA LEY;POP
6269;HOMBRE;LA LEY;POP
6392;PRISIONEROS DE LA PIEL;LA LEY;POP
278;CUMBIA DEL OESTE;LA LEYENDA;CUMBIA
